0.325,0.325
4.596,4.59
3.051,3.07
4.382,4.348
2.293,2.299
5.466,5.438
5.224,5.198
4.561,4.542
1.654,1.694
3.221,3.193
3.994,3.955
4.303,4.253
1.647,1.668
6.623,6.59
4.957,4.931
6.089,6.058
5.609,5.564
5.026,4.994
1.052,1.036
4.798,4.768
1.886,1.889
4.995,4.969
0.139,0.117
0.057,0.073
1.459,1.5
4.604,4.573
5.604,5.581
4.551,4.526
3.907,3.851
6.411,6.39
0.357,0.345
0.709,0.7
2.666,2.673
3.683,3.669
3.738,3.707
0.928,0.935
6.94,6.845
3.97,3.914
3.003,3.042
6.273,6.227
1.052,1.036
0.087,0.096
1.172,1.192
3.24,3.251
3.621,3.614
0.653,0.662
6.767,6.75
5.98,5.944
4.357,4.313
3.15,3.145
